N,ID_PR,ASL,RAGIONE SOCIALE,PARTITA IVA,NOME PRESIDIO,DECRETI,TIPO DI PROVVEDIMENTO,INDIRIZZO,COMUNE,CAP,Latitude,Longitude
186,1223,101 RM/A,ALPA 83 S.R.L.,01497781003,ALPA 83 S.R.L.,U00346/12,DECRETO DI ACCREDITAMENTO,"VIA BARBERINI, 3",ROMA,00187,41.9040194,12.4896661
330,1078,101 RM/A,AFRI,01243801006,AMBULATORIO AFRI S.R.L.,U00155/12,DECRETO DI ACCREDITAMENTO,"via giovanni barracco, 11",ROMA,00162,41.9202517,12.5201006
99,606,101 RM/A,ANALISI CLINICHE CASTELFIDARDO S.R.L.,01763561006,ANALISI CLINICHE CASTELFIDARDO S.R.L.,"U00208/12
U00468/13
U00389/14",DECRETO DI ACCREDITAMENTO,"via castelfidardo, 34",ROMA,00185,41.9071152,12.5002712
409,1314,101 RM/A,ANALISI CLINICHE SCIARRA SRL,02151151004,POLIAMBULATORIO SPECIALISTICO,U00359/12,DECRETO DI ACCREDITAMENTO,Via Antonio Salandra 6,ROMA,00187,41.90564029999999,12.4955343
884,1488,101 RM/A,ANALISI CLINICHE TRASTEVERE S.R.L.,01322551001,ANALISI CLINICHE TRASTEVERE S.R.L.,U00368/12,DECRETO DI ACCREDITAMENTO,via San Francesco a Ripa 110,ROMA,00153,41.8862894,12.4722667
469,232,101 RM/A,AR.PA. RADIOLOGICA S.R.L.,01313651000,AR.PA. RADIOLOGICA S.R.L.,U00356/12,DECRETO DI ACCREDITAMENTO,VIA ALESSANDRO VOLTA 37,ROMA,00153,41.8787736,12.4774683
474,947,101 RM/A,ARISTEIA S.R.L.,01021931009,ARISTEIA S.R.L.,"U00361/12
U00114/13",DECRETO DI ACCREDITAMENTO,"Via Pietro Aretino, 41",ROMA,00137,41.9447457,12.5495363
365,498,101 RM/A,ARTEMISIA SPA,00929551000,POLIAMBULATORIO E DIAGNOSTICA STRUMENTALE,U00169/12,DECRETO DI ACCREDITAMENTO,Viale Liegi 45,ROMA,00198,41.92210679999999,12.4930466
476,323,101 RM/A,BIODIAGNOSTICA S.R.L.,01295891004,BIODIAGNOSTICA S.R.L.,"U00136/12
U00249/13",DECRETO DI ACCREDITAMENTO,Via Gianluca Squarcialupo n.° 36,ROMA,00162,41.9167312,12.5255006
607,342,101 RM/A,BIOLEVI SAIR SERVIZI SANITARI SRL,04977641002,BIOLEVI SAIR SERVIZI SANITARI SRL,U00301/12,DECRETO DI ACCREDITAMENTO,VIA G. SQUARCIALUPO 3,ROMA,00162,41.912199,12.5263537
750,1112,101 RM/A,BIOS S.P.A.,01014021008,BIOS S.P.A.,U00372/12,DECRETO DI ACCREDITAMENTO,Via D. Chelini n. 39,ROMA,00197,41.9263805,12.4819652
810,188,101 RM/A,CAPRI MEDICAL HOUSE SRL,01234951000,CAPRI MEDICAL HOUSE SRL,U00452/12,DECRETO DI ACCREDITAMENTO,PIAZZA CAPRI 5,ROMA,00141,41.8052702,12.6255018
401,1168,101 RM/A,CARDIODIAGNOSTICA S.R.L.,01657101000,CARDIODIAGNOSTICA S.R.L.,"U00408/12
U00246/13",DECRETO DI ACCREDITAMENTO,Via Lima 35,ROMA,00198,41.9235966,12.4960488
60,1216,101 RM/A,CARVITAL S.R.L.,01260051006, CARVITAL S.R.L.,"U00387/12
U00168/13
U00361/13",DECRETO DI ACCREDITAMENTO,VIA FRANCESCO COCCO ORTU 44-50,ROMA,00139,41.9591292,12.5223296
368,616,101 RM/A,CASA DI CURA MARCO POLO S.R.L.,00993021005,CASA DI CURA MARCO POLO S.R.L.,U00251/13,DECRETO DI ACCREDITAMENTO,Viale Marco Polo n.° 41,ROMA,00154,41.8708892,12.4867883
738,745,101 RM/A,CASA DI CURA S. ANTONIO DA PADOVA SRL,00994051001,CASA DI CURA S. ANTONIO DA PADOVA SRL,U00337/13,DECRETO DI ACCREDITAMENTO,"via Mecenate, 14",ROMA,00184,41.8916195,12.4987919
579,1235,101 RM/A,CASA DI CURA SAN FRANCESCO CARACCIOLO SRL,01460451006,CASA DI CURA SAN FRANCESCO CARACCIOLO S.R.L.,U00334/13,DECRETO DI ACCREDITAMENTO,VIALE TIRRENO 200,ROMA,00141,41.9425276,12.529731
